name,dob,team,image_url
Anna Iriyama,3/12/1995,Team A,"https://s.akb48.co.jp/upload/images/b5724a24a2653641ec0a6af6438986b4.jpg?t=1596691388
"
Rin Okabe,7/11/1996,Team A,"https://s.akb48.co.jp/upload/images/b736a97413df084560540090a4624b51.jpg?t=1596691409
"
Hinano Okumoto,9/10/2003,Team A,"https://s.akb48.co.jp/upload/images/793a9940255409a9e8787d0eac4cec29.jpg?t=1596691443
"
Yui Oguri,26/12/2001,Team A,"https://s.akb48.co.jp/upload/images/154a1dc36b18f3d646a187eda999d96d.jpg?t=1596691461
"
Rena Kato,10/7/1997,Team A,"https://s.akb48.co.jp/upload/images/c7d4f1e256a1a151ada2806322c1da7f.jpg?t=1596691479
"
Minami Sato,3/8/2003,Team A,"https://s.akb48.co.jp/upload/images/179ac688887d9e9b740d86be4e3dfc5a.jpg?t=1596691505
"
Miu Shitao,3/4/2001,Team A,"https://s.akb48.co.jp/upload/images/8f2c03c350c8587a304980be5ebd4471.jpg?t=1596691529
"
Ayana Shinozaki,8/1/1996,Team A,"https://s.akb48.co.jp/upload/images/d5e3666afcbed98b781932dc5008d60c.jpg?t=1596691547
"
Kurumi Suzuki,2/9/2004,Team A,"https://s.akb48.co.jp/upload/images/c5041636bcf875008ae61d191cd14a72.jpg?t=1596691933
"
Manaka Taguchi,12/12/2003,Team A,https://s.akb48.co.jp/upload/images/8ea8e0722f5e8d445b10b1593d427448.jpg?t=1596691952
Erii Chiba,27/10/2003,Team A,"https://s.akb48.co.jp/upload/images/13cdb6ebb84a8739bb3daa1342f7f022.jpg?t=1596691974
"
Rei Nishikawa,25/10/2003,Team A,"https://s.akb48.co.jp/upload/images/f582c8c52bdc8877d7a466870eff4ebb.jpg?t=1596691990
"
Nazuna Furukawa,21/8/2003,Team A,"https://s.akb48.co.jp/upload/images/aa08a917e63a7d318028fa25cb1659d1.jpg?t=1596692219
"
Saki Michieda,20/12/2003,Team A,"https://s.akb48.co.jp/upload/images/b16f7b515449273ad009838f9f37614f.jpg?t=1596692053
"
Miho Miyazaki,30/7/1993,Team A,"https://s.akb48.co.jp/upload/images/a485b18c7642de1be737a0b5d4ccaa37.jpg?t=1596692090
"
Mion Mukaichi,29/1/1998,Team A,"https://s.akb48.co.jp/upload/images/63a448ed3534abc6ecdeb4d3ebed551a.jpg?t=1596692150
"
Suzuha Yamane,11/8/2000,Team A,"https://s.akb48.co.jp/upload/images/052752b58f2062632088ea2a2e0e654a.jpg?t=1596692168
"
Yui Yokoyama,8/12/1992,Team A,"https://s.akb48.co.jp/upload/images/9f78dbf8ec1ef4293d82212dd3b8a235.jpg?t=1596692185
"
Karen Yoshida,27/8/2002,Team A,"https://s.akb48.co.jp/upload/images/ad75eded175766226176c1b1fbda4c82.jpg?t=1596692203
"
Manami Ichikawa,26/8/1999,Team K,"https://s.akb48.co.jp/upload/images/cae6dd139c647aa3fb461bd4533368e5.jpg?t=1596692316
"
Rina Okada,27/7/1999,Team K,"https://s.akb48.co.jp/upload/images/33f593aedd6e71c8e354a09a195fdbc9.jpg?t=1596692828
"
